Number of robot passes: 252

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
38   3   6    -55.5    0        197.5
39   3   7    -44.9    -32.62   233.5
40   3   8    -17.15   -52.78   269.5
41   3   9    17.15    -52.78   305.5
42   3   10   44.9     -32.62   341.5

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        17.5 
2    1   2    89.74    32.66    37.5 
3    1   3    73.16    61.39    57.5 
4    1   4    47.75    82.71    77.5 
5    1   5    16.58    94.05    97.5 
6    1   6    -16.58   94.05    117.5
7    1   7    -47.75   82.71    137.5
8    1   8    -73.16   61.39    157.5
9    1   9    -89.74   32.66    177.5
10   1   10   -95.5    0        197.5
11   1   11   -89.74   -32.66   217.5
12   1   12   -73.16   -61.39   237.5
13   1   13   -47.75   -82.71   257.5
14   1   14   -16.58   -94.05   277.5
15   1   15   16.58    -94.05   297.5
16   1   16   47.75    -82.71   317.5
17   1   17   73.16    -61.39   337.5
18   1   18   89.74    -32.66   357.5
19   2   1    75.5     0        17.5 
20   2   2    68.02    32.76    43.2 
21   2   3    47.07    59.03    68.9 
22   2   4    16.8     73.61    94.6 
23   2   5    -16.8    73.61    120.4
24   2   6    -47.07   59.03    146.1
25   2   7    -68.02   32.76    171.8
26   2   8    -75.5    0        197.5
27   2   9    -68.02   -32.76   223.2
28   2   10   -47.07   -59.03   248.9
29   2   11   -16.8    -73.61   274.6
30   2   12   16.8     -73.61   300.4
31   2   13   47.07    -59.03   326.1
32   2   14   68.02    -32.76   351.8
33   3   1    55.5     0        17.5 
34   3   2    44.9     32.62    53.5 
35   3   3    17.15    52.78    89.5 
36   3   4    -17.15   52.78    125.5
37   3   5    -44.9    32.62    161.5
38   3   6    -55.5    0        197.5
39   3   7    -44.9    -32.62   233.5
40   3   8    -17.15   -52.78   269.5
41   3   9    17.15    -52.78   305.5
42   3   10   44.9     -32.62   341.5

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        17.5 
2    1   2    89.74    32.66    37.5 
3    1   3    73.16    61.39    57.5 
4    1   4    47.75    82.71    77.5 
5    1   5    16.58    94.05    97.5 
6    1   6    -16.58   94.05    117.5
7    1   7    -47.75   82.71    137.5
8    1   8    -73.16   61.39    157.5
9    1   9    -89.74   32.66    177.5
10   1   10   -95.5    0        197.5
11   1   11   -89.74   -32.66   217.5
12   1   12   -73.16   -61.39   237.5
13   1   13   -47.75   -82.71   257.5
14   1   14   -16.58   -94.05   277.5
15   1   15   16.58    -94.05   297.5
16   1   16   47.75    -82.71   317.5
17   1   17   73.16    -61.39   337.5
18   1   18   89.74    -32.66   357.5
19   2   1    75.5     0        17.5 
20   2   2    68.02    32.76    43.2 
21   2   3    47.07    59.03    68.9 
22   2   4    16.8     73.61    94.6 
23   2   5    -16.8    73.61    120.4
24   2   6    -47.07   59.03    146.1
25   2   7    -68.02   32.76    171.8
26   2   8    -75.5    0        197.5
27   2   9    -68.02   -32.76   223.2
28   2   10   -47.07   -59.03   248.9
29   2   11   -16.8    -73.61   274.6
30   2   12   16.8     -73.61   300.4
31   2   13   47.07    -59.03   326.1
32   2   14   68.02    -32.76   351.8
33   3   1    55.5     0        17.5 
34   3   2    44.9     32.62    53.5 
35   3   3    17.15    52.78    89.5 
36   3   4    -17.15   52.78    125.5
37   3   5    -44.9    32.62    161.5
38   3   6    -55.5    0        197.5
39   3   7    -44.9    -32.62   233.5
40   3   8    -17.15   -52.78   269.5
41   3   9    17.15    -52.78   305.5
42   3   10   44.9     -32.62   341.5

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    95.5     0        17.5 
2    1   2    89.74    32.66    37.5 
3    1   3    73.16    61.39    57.5 
4    1   4    47.75    82.71    77.5 
5    1   5    16.58    94.05    97.5 
6    1   6    -16.58   94.05    117.5
7    1   7    -47.75   82.71    137.5
8    1   8    -73.16   61.39    157.5
9    1   9    -89.74   32.66    177.5
10   1   10   -95.5    0        197.5
11   1   11   -89.74   -32.66   217.5
12   1   12   -73.16   -61.39   237.5
13   1   13   -47.75   -82.71   257.5
14   1   14   -16.58   -94.05   277.5
15   1   15   16.58    -94.05   297.5
16   1   16   47.75    -82.71   317.5
17   1   17   73.16    -61.39   337.5
18   1   18   89.74    -32.66   357.5
19   2   1    75.5     0        17.5 
20   2   2    68.02    32.76    43.2 
21   2   3    47.07    59.03    68.9 
22   2   4    16.8     73.61    94.6 
23   2   5    -16.8    73.61    120.4
24   2   6    -47.07   59.03    146.1
25   2   7    -68.02   32.76    171.8
26   2   8    -75.5    0        197.5
27   2   9    -68.02   -32.76   223.2
28   2   10   -47.07   -59.03   248.9
29   2   11   -16.8    -73.61   274.6
30   2   12   16.8     -73.61   300.4
31   2   13   47.07    -59.03   326.1
32   2   14   68.02    -32.76   351.8
33   3   1    55.5     0        17.5 
34   3   2    44.9     32.62    53.5 
35   3   3    17.15    52.78    89.5 
36   3   4    -17.15   52.78    125.5
37   3   5    -44.9    32.62    161.5
38   3   6    -55.5    0        197.5
39   3   7    -44.9    -32.62   233.5
40   3   8    -17.15   -52.78   269.5
41   3   9    17.15    -52.78   305.5
42   3   10   44.9     -32.62   341.5
